Date	cusip	sedol	compustat_id	ROE	CFROIC	LTDE	CapAcqRatio	ShareChg	CashCycle	NetProfitMargin	WCAccruals	BP	PM12M1M	PM1M	LogMktCap	AnnVol12M	AnnVol1M	HL1M	LogTTMSales	FCFP	EBITDAEV	EP	AstAdjChg1YFCF	AstAdjChg1YOCF	Chg1YAstTo	Chg1YEPS	PM9M	Beta60M	SusGrwRate	90DCV	DivP	SEV	AccrualRatioCF	PM5D	NIStab	LTGC	EstDiffC	SUEC	EPSNumRevFY1C	PM-style	HG-style	CE-style	Val-style	EQ-style	Sz-style	Vol-style	AE-style
2014-03-11		6168485	14202501W	3	2	2	4	4	4	3	5	5	4	2	5	3	4	1	5	3	1	3	3	3	4	2	5	4	4	2	2	1	3	3	4	1	4	5	4	3	3	4	2	5	5	3	4
2014-03-11		B3XBZ38	29248601W	1	3	5	1	2	1	1	3	2	3	2	1	2	4		1	1	4	1	2	2	3		2			2		4	4	3						1	1	2	1	1	1	3	
2014-03-11		B530982	29361401W	1	3	5	1	1	5	1	4	3	3	4	3	4	3	3	3	2	2	1	1	1	5	3	2		2	5	1	3	3	3	2					3	1	2	1	3	3	4	
2014-03-11		B3TPGD1	29418501W	5	5		5	2	3	5	4	1	5	1	1	2	1	3	2	5	2	5	5	5	5	5	5			1		5	2	1						4	5	5	4	4	1	1	
2014-03-11		B3TP233	29497801W	1	4	4	5	5	1	5	1	5	5	1	1	1	1	3	3	3	5	5	1	1	1		5			1		1		5						5	1	4	5	1	1	1	
2014-03-11		B4Q5L81	29557101W	2	3		3	5	3	2	5	2	5	2	3	3	4	2	3	3	1	1	4	5	4	2	5		2	4	4	2	5	1						3	4	4	1	5	3	4	
2014-03-11		B59K0G1	30798701W	3	5	2	4	4	3	4	3	3	2	5	1	2	1	4	1	4	3	3	4	4	1	5	3			1		1		4						4	4	4	3	4	1	1	
2014-03-11		B7WJ188	31222001W	1	2	5	3	2	1	1	3	5	4	5	5	5	3	5	4	3	3	3	3	2	4	3	2		2	3	5	4	4	5		1	3	1	1	5	2	2	5	2	5	4	1
2014-03-11		B75ZM24	31223101W	1	2	3	3	1	2	2	4	5	5	4	4	3	3	3	4	3	2	2	5	5	5	3	4		1	5	5	3	5	4						5	4	1	4	4	4	4	
2014-03-11		B7T5B34	31241501W	4	4	5	3	2	1	1	3	1	2	5	4	5	4	5	2	3	4	3	2	3	5	3	1		4	4	5	5	3	5						5	3	4	4	1	3	5	
2014-03-11		B8CPMR9	31245801W	4	4	3	4	2	5	2	3	1	4	2	1	2	1		1	3	5	3	3	3	5	4	5			2		5	3	3						4	5	3	5	5	1	1	
2014-03-11		6257026	24830401W	4	2	4	1	4	1	5	2	4	1	4	2	1	2	2	1	2	4	4	2	3	5	4	3	5		3		5	1	4	2					3	4	3	5	1	1	3	
2014-03-11		6314460	24830601W	4	4	2	4	5	4	3	3	3	1	2	3	2	3	1	2	3	4	4	3	3	5	1	1	3	5	2	5	3	3	4	1					1	4	4	3	2	3	3	
2014-03-11		B07NLK8	27306301W	2	3	2		1	2	1	1	1	5	2	3	1	4	1	3	1	5	1	4	4	5	5	5	4	5	5	1	5		1			3	4	2	3					3	4	3
2014-03-11		B96SLT6	29348101W	3	5	5	5	4	5	3	2	5	3	3	3	3	5	1	3	5	2	3	5	5	3	4	4		4	2	1	3	2	2						2	5	5	4	3	3	3	
2014-03-11		B5MHXZ9	29515101W	3	2	3		1	1	1	2	4	2	3	5	3	4	1	3	2	3	3	4	2	3	2	4		3	5	2	5	4	2						2	3	1	3	2	4	4	
2014-03-11		B3N8302	29695701W	2	3	1	4	2	2	2	4	4	4	3	4	5	4	2	4	4	2	2	4	3	3	3	4		4	5	1	3	5	3			3		2	3	4	1	2	3	4	5	2
2014-03-11		B3LDVX8	29834701W	2	1	4	3	2	2	3	1	4	1	4	2	3	2	3	3	3	2	2	1	1	4	2	1		2	4	2	2	4	4						2	1	2	2	2	3	3	
2014-03-11		B429GM6	30588701W	1	1	1	3	2	1	2	1	5	5	4	3	3	3	3	1	3	3	3	1	1	5	1	4			3		4	5	3						4	1	1	4	1	2	3	
2014-03-11		B7F9V41	31134401W	1	1	2	2	1	3	2	5	4	2	2	3	5	3	3	3	2	1	1	2	1	4	2	2		1	4	2	2		4						2	1	1	1	3	3	4	
2014-03-11		B8QXRM9	31384401W	1	4	3	4	5	3	1	5	5	5	3	4	3	3	3	3	3	2	2	5	5	5	2	4			5		4	5	3						4	5	4	2	4	4	4	
2014-03-11		6055587	24828001W	5	4	2	4	2	3	5	4	1	5	1	1	1	1	1	2	4	4	5	4	4	1		5			2		1		1						2	3	4	3	5	1	1	
2014-03-11		B05Q3L4	27236501W	2	3	5	3	2	3	4	2	4	3	5	5	5	3	5	5	4	3	2	2	3	3	3	2	2	3	2	4	2	3	5	2	3	1	3	1	5	3	4	3	3	5	3	2
2014-03-11		6200860	24831501W	4	4	3	4	5	3	5	1	4	3	1	3	2	2	1	1	5	5	4	5	2		5	4	4		3		5	5	1						1	5	5	5	4	2	2	
2014-03-11		6241096	24832101W	3	3		5	2	4	3	5	4	2	1	2	2	1	2	1	4	3	3	3	4	4	3	1	4		2	1	2	5	1	4					1	4	4	2	5	1	2	
2014-03-11		6175571	24832301W	4	5	4	5	2	1	4	4	5	2	3	1	4	5		1	5	5	4	1	3	2		2			3	5	3	1	3						1	1	5	5	2	1	5	
2014-03-11		B06G2K5	27262801W	4	4	4	5	5	4	4	4	2	1	1	2	1	2	3	2	4	4	4	2	2	5	5	4	4		2		3	4	4	5					2	4	5	4	5	2	2	
2014-03-11		6091202	10371701W	3	1	2	2	4	3	3	1	4	4	4	4	5	5	4	5	2	2	3	2	2	2	3	4	2	5	5	1	2	2	4	2					5	2	2	1	2	5	4	
2014-03-11		6242378	10372001W	3	2	4	2	2	4	2	2	3	2	4	4	5	5	4	4	2	3	2	3	2	2	2	3	2	4	5	3	4	2	4	3					4	2	2	2	2	4	5	
2014-03-11		B4TG5S9	29293501W	1	5	5	5	4	5	1	2	3	4	2	3	3	5	2	2	5	4	1	5	5	5	3	4		1	4	5	4	5	1						2	5	5	4	3	2	4	
2014-03-11		B3RQ6Q9	29594301W	3	1	3	2	3	2	4	1	3	2	5	5	4	4	4	5	1	3	3	1	1	2	3	2		4	5	4	1	1	5		2	3	2	4	4	1	2	2	2	5	5	3
2014-03-11		B29HKR2	29681801W	1	1	3	2	5	1	2	2	5	1	3	3	3	5	2	2	2	2	2	4	2	4	2	1		2	4	4	3	3	3						1	2	2	3	1	3	4	
2014-03-11		B8HK1T4	31322601W	1	1	4	2	2	1	2	3	5	1	5	3	3	2	4	2	2	3	3	1	5	2	4	1		2	1	4	4		2						1	3	1	5	1	3	2	
2014-03-11		B1KKPM3	31437901W										2	4		5	5	5									2			5				2						3						5	
2014-03-11		BBGBHS0	31567101W	1	3	5	1	5	1	1	3	5		2	4	4	4	2	1	2	4	2	2	2		1				4		5	5	3						2	1	3	4	1	3	4	
2014-03-11		BGGZHX2	31659301W	2	3	5	4	5	4	1	3	4		4	5	4	5	4	4	5	3	2	5	2	3	1			2	4	2	4	5	4		1	3	4		4	3	4	2	2	4	5	3
2014-03-11		BHB1P05	27757702W	5	4	5	4	4	1	5	3	4		2	5	4	4	2	4	5	4	5	5	2	2	4				2		5	4	4	4		3			3	3	5	5	3	4	4	3
2014-03-11		BH7T0P3	20112202W	2	4	4	5	5	5	1	4	2		5	5	4	4	5	5	5	3	1	2	2	1	2				3		4		5						5	1	5	2	4	5	4	
2014-03-11		B096CD5	27303901W	3	2	3	1	1	4	4	2	4	1	3	2	1	4	2	3	2	3	4	1	1	2	3	1	1	4	2	4	3	2	2						1	1	2	4	3	3	2	
2014-03-11		B4YM1V7	29215401W	3	3	2	3	4	5	3	4	1	2	1	1	3	1	2	2	3	2	1	2	2	2	2	3		4	3	1	2	3	1	5					1	2	3	1	5	1	2	
2014-03-11		B609SV5	29406701W	1	1	5	2	2	2	2	1	4	1	5	4	2	2	4	3	1	2	2	2	1	5	1	1		2	1	2	3	2	5	2					3	1	1	2	1	3	2	
2014-03-11		B4WFGM4	29566601W	4	4		4	2	4	4	5	2	2	5	2	1	1	3	1	4	2	4	3	3	2	5	2			2		1	4	4						3	4	5	2	5	2	1	
2014-03-11		B43WWF9	29666101W	1	1		1	5	1	2	5	5	2	5	3	3	2	3	3	1	2	2	2	2	2	3	4		1	2	3	3	5	1			3	3	2	3	2	1	3	4	3	2	3
2014-03-11		B657MH8	29866001W	1	1		4	2	1	3	2	5	3	3	5	5	5	1	5	3	3	3	4	2	2	3	3		4	5	2	3	5	2		2	3	4	2	2	2	1	4	2	5	5	3
2014-03-11		B57GTL9	30649101W	2	2		2	2	1	2	3	5	5	3	5	4	4	3	4	2	2	3	4	4	3	3	5		2	3	3	3	5	1		3	4	5	4	4	3	1	2	2	5	4	5
2014-03-11		B88Y5H1	31382701W	1	3	2	3	2	4	2	5	3	4	3	4	5	4	2	4	4	1	1	3	3	3	3	4		1	4	3	2	5	2			3		4	3	2	1	2	5	4	5	4
2014-03-11		B8TWL43	31393501W	4	3	3	4	5	2	4	5	4	5	5	2	3	2	5	2	4	2	4	3	4	2	4	4			1		2		5						5	3	5	4	4	2	2	
2014-03-11		BC9LD42	31568501W	4	4	3	2	5	5	4	3	4		4	1	1	2	4	1	3	4	4	2	4	5	4				2		3		3						5	4	4	4	5	1	1	
2014-03-11		BCDM9C1	31583401W	1	1	3	2	5	3	1	1	5		5	1	1	2	4	1	2	2	1	2	2	4	1				2		3		5						5	2	2	2	1	1	1	
2014-03-11		B28PL63	28727301W	4	3	5	3	2	5	4	1	3	4	4	4	3	3	4	4	3	4	4	2	2	1	5	2	1		2		4	2	5	4					5	3	4	4	4	4	2	
2014-03-11		B06C311	27230801W	3	3	4	1	5	3	2	2	5	1	4	5	2	3	4	4	2	4	4	3	3	2	2	1	3		1		5		5		1				2	2	2	5	1	5	2	1
2014-03-11		6241847	24830101W	1	2	3	2	2	4	3	3	4	1	5	4	5	3	5	5	2	1	1	2	2	4	1	1	3	1	4	2	1	4	3	1					3	1	1	1	2	4	4	
2014-03-11		B3B2KF0	29115301W	2	3	5	4	4	1	2	2	4	2	4	4	4	3	3	3	4	3	2	3	4	5	2	2	5	1	3	4	4	5	2	1	2	5		5	2	3	3	3	1	3	4	5
2014-03-11		B457RD5	29247901W	3	3	2	4	2	3	3	4	2	3	2	4	5	4	1	4	5	1	2	2	1	4	3	3		4	4	2	1	4	3	4			2		2	3	3	1	4	4	5	2
2014-03-11		BKHZG65	29255101W	5	4	4	4	5	5	5	5	4	1	2	4	1	3	1	2	4	4	4	3	4	4	5	1		5	1	5	4		1						1	5	5	5	5	3	1	
2014-03-11		BF5R4B9	29331601W	1	2	4	3	4	4	2	5	4	1	4	4	3	3	3	4	4	1	1	3	2	2	2	2			3		3	5	1		1	1	1	1	2	1	3	3	5	5	3	1
2014-03-11		B3MVRX3	29380101W	5	3	5	4	5	1	5	2	3	5	2	4	4	3	1	5	5	4	5	2	3	3	5	5			2		2	1	1		5	4	4	5	3	3	5	5	2	5	3	5
2014-03-11		B465QT7	29501601W	4	1	4	1	2	4	3	5	1	2	1	1	2	1	4	2	1	3	2	1	2	1	4	4		4	2	3	2		1						1	2	2	1	5	2	1	
2014-03-11		B4KJWS6	29562001W	2	3	4	1	3	1	1	1	4	2	3	5	5	4	2	5	2	4	3	4	4	4	2	2		3	4	5	5	2	4		4	4	2	4	2	4	3	5	1	5	5	3
2014-03-11		B5WCD65	29581201W	2	2	4	3	2	4	2	1	3	1	3	2	2	2	3	2	3	2	1	4	5	2	1	1		2	2	4	3	4	1						1	3	2	2	2	2	2	
2014-03-11		B4NQZ85	10156902W	1	1	3	2	2	2	3	3	4	3	5	4	5	3	5	5	2	2	2	2	2	3	2	1		2	3	1	2	2	5			1	4	1	5	2	1	1	2	5	4	1
2014-03-11		B64BXL2	20363903W	2	4	3	4	2	3	3	5	3	5	5	5	3	2	5	5	5	2	2	5	5	5	2	3		3	4	3	1	4	5	1					5	4	3	2	3	5	3	
2014-03-11		B1NB0C8	31439101W										3	3		5	5	1									3			3				2						2						5	
2014-03-11		B7PV4L5	31471601W	1	1	4	3	5	2	3	4	4	2	5	2	2	4	5	3	5	2	1	5	1	2	2	2		1	4	2	1	5	4						4	2	3	2	4	3	4	
2014-03-11		BH4GY66	28560101W									5	4	2	4	2	2	1									4	1		3				3						3			5		4	2	
2014-03-11		B23SH70	28569001W	5	3	5	5	2	4	5	3	1	5	1	1	1	1		3	1	4	5	5	5	3		5	2		1		3	1	3	4					4	5	5	2	4	1	1	
2014-03-11		6388863	24829001W	3	5	1	5	1	2	3	5	2	4	4	1	2	2	3	1	4	5	2	3	4	1	1	4	5		2		5		1						3	2	3	5	3	1	3	
2014-03-11		6397687	24831901W	2	2	2	3	2	3	3	4	2	2	5	2	3	2	4	4	3	1	1	3	3	2	1	1	5	2	2	1	1	4	5	1					4	2	2	1	2	3	3	
2014-03-11		B10SYQ4	25007801W	2	5		5	1	2	4	4	4	3	4	5	5	5	3	5	4	3	2	4	4	2	2	2	2	2	5	4	1	5	4	1					3	3	4	1	2	5	5	
2014-03-11		6236304	10377701W	2	3	4		2	2	1	3	3	2	3	4	5	5	3	3	2	4	2	3	3	1	1	2	5	2	5	4	5	3	3	2					2	1	2	3	1	4	5	
2014-03-11		6842444	10382701W	2	3	5	4	4	4	1	2	5	1	3	5	4	5	1	4	4	4	3	4	3	4	2	1	3	2	2	4	5	4	1	3	2	3	3		1	3	4	5	3	4	4	2
2014-03-11		B5B3YR7	29319301W	3	5		5	5	1	3	1	3	3	3	1	3	1	5	2	4	2	3	5	5	1	2	2		4	3	4	1		4						4	3	5	3	1	1	2	
2014-03-11		B56ZM74	29710101W	3	3	4	2	3	1	2	2	2	4	2	5	5	4	3	5	3	3	3	3	3	3	3	4			4	1	5	3	4		4	5	4	5	4	3	4	3	1	5	5	5
2014-03-11		B9QN522	31519201W	2	5	1	5	5	4	2	5	5		3	2	2	5		1	3	3	3	5	5	5	3	1		3	2	4	4	5	3						2	5	4	4	5	1	3	
2014-03-11		BDZCSY1	31619801W	3	1	2	1	5	2	4	2	2		1	1	1	2	2	3	1	5	2	3	3	4	3				2		5		1						1	4	2	3	2	2	1	
2014-03-11		BJ62K79	31709301W	4	3	5	4		1	1		2		3	5	5	5	1	2	5	3	4								5		5		2						1		5	5	2	4	5	
2014-03-11		B442NY4	29341801W	2	4	4	4	3	1	1	2	3	4	3	5	5	4	3	4	3	4	2	3	3	2	2	3		3	3	4	5	2	3		1	1	2	1	4	2	3	4	1	5	4	1
2014-03-11		B97SLB7	31489501W	1	1		1	5	2	1	3	5	1	2	4	4	4	2	3	2	2	2	3	4	3	2	2		2	5	1	4		2		2	3		2	1	3	1	1	1	4	5	3
2014-03-11		BC9S2N5	31571401W	1	2	2	3	5	3	2	5	4		2	2	3	4	1	2	3	2	1	3	1	2	1			1	3	3	2		3						1	1	2	3	3	2	3	
2014-03-11		BCGD3S5	31587201W	4	4		5	5				5		3	5	2	3	3		3	4	4	4	4		4				2				5			3		2	4	5	5	4		5	2	2
2014-03-11		BJ35YD5	31711801W	1	1		1		2	1	4	5		5	4	1	1	2	2	2	3	3	1	2	5	3			1	2	5	5		1						3	2	1	4	4	3	1	
