Company Name	API ID
JARDINE STRATEGIC HLDGS LTD	J37:SGX
JASON HOLDINGS LIMITED	5I3:CATALIST
JASON MARINE GROUP LIMITED	5PF:CATALIST
JASPER INVESTMENTS LIMITED	FQ7:SGX
JAYA HOLDINGS LTD	J10:SGX
JB FOODS LIMITED	Q0W:SGX
JEP HOLDINGS LTD.	5FA:CATALIST
JES INTERNATIONAL HOLDINGS LTD	EG0:SGX
JIUTIAN CHEMICAL GROUP LIMITED	C8R:SGX
JK TECH HOLDINGS LIMITED	5TS:CATALIST
JOYAS INTERNATIONAL HLDGS LTD	E9L:SGX
JUBILEE INDUSTRIES HLDGS LTD.	5OS:CATALIST
JUNMA TYRE CORD COMPANY LTD	5TF:CATALIST
K1 VENTURES LIMITED	K01:SGX
KARIN TECHNOLOGY HLDGS LIMITED	K29:SGX
KENCANA AGRI LIMITED	F9M:SGX
KEONG HONG HOLDINGS LIMITED	5TT:CATALIST
KEPPEL CORPORATION LIMITED	BN4:SGX
KEPPEL INFRASTRUCTURE TRUST	LH4U:SGX
KEPPEL LAND LIMITED	K17:SGX
KEPPEL REIT	K71U:SGX
KEPPEL TELE & TRAN	K11:SGX
KHONG GUAN FLOUR MILLING LTD	K03:SGX
KIAN HO BEARINGS LTD	K22:SGX
KIMHENG OFFSHORE&MARINE HLDLTD	5G2:CATALIST
KING WAN CORPORATION LIMITED	554:SGX
KINGBOARD COPPER FOIL HDGS LTD	K14:SGX
KINGSMEN CREATIVES LTD	5MZ:SGX
KITCHEN CULTURE HOLDINGS LTD.	5TI:CATALIST
KLW HOLDINGS LTD	504:CATALIST
KODA LTD	5BK:SGX
KOH BROTHERS ECO ENGG LIMITED	5HV:CATALIST
KOH BROTHERS GROUP LIMITED	K75:SGX
KOON HOLDINGS LIMITED	5DL:SGX
KOP LIMITED	5I1:CATALIST
KORI HOLDINGS LIMITED	5VC:CATALIST
KOYO INTERNATIONAL LIMITED	5OC:CATALIST
KRISENERGY LTD.	SK3:SGX
KS ENERGY LIMITED	578:SGX
KSH HOLDINGS LIMITED	ER0:SGX
KTL GLOBAL LIMITED	EB7:SGX
LAFE CORPORATION LIMITED	L05:SGX
LANKOM ELECTRONICS LIMITED	L22:SGX
LANTROVISION (S) LTD	Q7W:SGX
LASSETERS INTL HOLDINGS LTD	5EL:CATALIST
LCD GLOBAL INVESTMENTS LTD.	L38:SGX
LEADER ENVIRONMENTAL TECH LTD	LS9:SGX
LEE KIM TAH HLDGS LIMITED	L25:SGX
LEE METAL GROUP LTD	593:SGX
LERENO BIO-CHEM LTD.	587:CATALIST
LEY CHOON GROUP HLDG LIMITED	Q0X:SGX
LH GROUP LIMITED	C4P:SGX
LHT HOLDINGS LIMITED	L10:SGX
LI HENG CHEM FIBRE TECH LTD	E9A:SGX
LIAN BENG GROUP LTD	L03:SGX
LIBRA GROUP LIMITED	5TR:CATALIST
LIFEBRANDZ LTD.	L20:SGX
LINAIR TECHNOLOGIES LIMITED	5FW:CATALIST
