Company Name,Stock Code:Market,ISIN Code,HP Short Name
SATS LTD.,S58:SGX,SG1I52882764,SATS
SIA ENGINEERING CO LTD,S59:SGX,SG1I53882771,SIA Engineering
GREAT EASTERN HLDGS LTD,G07:SGX,SG1I55882803,Great Eastern
TREK 2000 INT'L LTD,5AB:SGX,SG1I59882965,Trek 2000 Intl
PNE INDUSTRIES LTD,P07:SGX,SG1I60882970,PNE Industries
NH CERAMICS LTD,5AC:CATALIST,SG1I61883027,NH Ceramics
ACHIEVA LIMITED,A02:SGX,SG1I63883082,Achieva
NERATELECOMMUNICATIONS LTD,N01:SGX,SG1I64883495,NeraTel
TAT HONG HOLDINGS LTD,T03:SGX,SG1I65883502,Tat Hong
ADDVALUE TECHNOLOGIES LTD,A31:SGX,SG1I67883666,Addvalue Tech
BLUMONT GROUP LTD.,A33:SGX,SG1I69883698,Blumont
HLH GROUP LIMITED,H27:SGX,SG1I70883703,HLH
TT INTERNATIONAL LIMITED,T09:SGX,SG1I71883728,TT Intl
ELLIPSIZ LTD,E13:SGX,SG1I76883822,Ellipsiz
POLLUX PROPERTIES LTD.,5AE:CATALIST,SG1I77884290,Pollux Prop
GOODPACK LIMITED,G05:SGX,SG1I78884307,Goodpack
JADASON ENTERPRISES LTD,J03:SGX,SG1I79884330,Jadason
BRC ASIA LIMITED,B03:SGX,SG1I83884557,BRC Asia
SMRT CORPORATION LTD,S53:SGX,SG1I86884935,SMRT
EU YAN SANG INTERNATIONAL LTD,E02:SGX,SG1I87884967,Eu Yan Sang
OSIM INTERNATIONAL LTD,O23:SGX,SG1I88884982,OSIM Intl
STRATECH SYSTEMS LIMITED,S73:SGX,SG1I89885087,StratechSystems^
K1 VENTURES LIMITED,K01:SGX,SG1I94885148,K1 Ventures
SUNLIGHT GROUP HLDG LTD,5AI:CATALIST,SG1I98885227,Sunlight
MIYOSHI PRECISION LIMITED,M03:SGX,SG1J04885492,Miyoshi^
BOARDROOM LIMITED,B10:SGX,SG1J08885589,Boardroom
TRANSCORP HOLDINGS LIMITED,T19:SGX,SG1J09885596,Transcorp
VIBROPOWER CORPORATION LIMITED,535:SGX,SG1J10885650,VibroPower
FEDERAL INT(2000) LTD,F20:SGX,SG1J11885683,Federal Int
HONG FOK CORPORATION LTD,H30:SGX,SG1J14885763,Hong Fok
PACIFIC CENTURY REGIONAL DEVTS,P15:SGX,SG1J17886040,Pacific Century
SIM LIAN GROUP LIMITED,S05:SGX,SG1J19886816,Sim Lian
UOB-KAY HIAN HOLDINGS LIMITED,U10:SGX,SG1J21887414,UOB Kay Hian
QIAN HU CORPORATION LIMITED,552:SGX,SG1J23887768,Qian Hu
SINGAPORE SHIPPING CORP LTD,S19:SGX,SG1J24887775,SingShipping
SINGAPORE EXCHANGE LIMITED,S68:SGX,SG1J26887955,SGX
