Exchange,Ticker,Date,Value,Volume,Currency
CATALIST,584,01/12/2014,35570,624000,SGD
CATALIST,584,28/11/2014,15897,274000,SGD
CATALIST,584,27/11/2014,61825,1045000,SGD
CATALIST,584,26/11/2014,14290,235000,SGD
CATALIST,584,25/11/2014,35105,585000,SGD
CATALIST,584,24/11/2014,98510,1638000,SGD
CATALIST,584,21/11/2014,12200,200000,SGD
CATALIST,584,20/11/2014,13800,230000,SGD
CATALIST,584,19/11/2014,37760,620000,SGD
CATALIST,584,18/11/2014,15681,256000,SGD
CATALIST,584,17/11/2014,738929,11577000,SGD
CATALIST,584,14/11/2014,106702,1732000,SGD
CATALIST,584,13/11/2014,50345,841000,SGD
SGX MAINBOARD,S3N,12/05/2015,2276333,3371100,SGD
SGX MAINBOARD,S3N,11/05/2015,3559523,5280700,SGD
SGX MAINBOARD,S3N,08/05/2015,2577274,3800400,SGD
SGX MAINBOARD,S3N,07/05/2015,1989510,2926000,SGD
SGX MAINBOARD,S3N,06/05/2015,2781143,4090300,SGD
SGX MAINBOARD,S3N,05/05/2015,3133240,4608200,SGD
SGX MAINBOARD,S3N,04/05/2015,3452027,5077300,SGD
SGX MAINBOARD,S3N,30/04/2015,2305445,3390400,SGD
SGX MAINBOARD,S3N,29/04/2015,2681668,3932600,SGD
SGX MAINBOARD,S3N,28/04/2015,2345682,3424300,SGD
SGX MAINBOARD,S3N,27/04/2015,2449978,3576500,SGD
SGX MAINBOARD,S3N,24/04/2015,3902547,5739700,SGD
SGX MAINBOARD,S3N,23/04/2015,2215824,3258400,SGD
SGX MAINBOARD,S3N,22/04/2015,2638616,3866100,SGD
SGX MAINBOARD,S3N,21/04/2015,1959150,2881400,SGD
SGX MAINBOARD,S3N,20/04/2015,2459830,3670300,SGD
SGX MAINBOARD,S3N,17/04/2015,3284494,4866100,SGD
SGX MAINBOARD,S3N,16/04/2015,1820980,2698100,SGD
SGX MAINBOARD,S3N,15/04/2015,3366554,4983300,SGD
SGX MAINBOARD,S3N,14/04/2015,1970159,2938000,SGD
SGX MAINBOARD,S3N,13/04/2015,2493097,3666900,SGD
SGX MAINBOARD,S3N,10/04/2015,3443392,5175700,SGD
SGX MAINBOARD,S3N,09/04/2015,3242093,4823800,SGD
SGX MAINBOARD,S3N,08/04/2015,2361819,3497200,SGD
SGX MAINBOARD,S3N,07/04/2015,1956284,2897600,SGD
SGX MAINBOARD,S3N,06/04/2015,2513399,3774700,SGD
SGX MAINBOARD,S3N,02/04/2015,3466250,5210700,SGD
SGX MAINBOARD,S3N,01/04/2015,3129942,4705600,SGD
SGX MAINBOARD,S3N,31/03/2015,2792252,4198200,SGD
SGX MAINBOARD,S3N,30/03/2015,1915990,2880300,SGD
SGX MAINBOARD,S3N,27/03/2015,1939393,2936600,SGD
SGX MAINBOARD,S3N,26/03/2015,3713138,5625600,SGD
SGX MAINBOARD,S3N,25/03/2015,3067456,4651000,SGD
SGX MAINBOARD,S3N,24/03/2015,2498260,3784800,SGD
SGX MAINBOARD,S3N,23/03/2015,1866804,2826600,SGD
SGX MAINBOARD,S3N,20/03/2015,1921313,2910900,SGD
SGX MAINBOARD,S3N,19/03/2015,4242183,6427700,SGD
SGX MAINBOARD,S3N,18/03/2015,3308575,5010600,SGD
SGX MAINBOARD,S3N,17/03/2015,2878331,4357200,SGD
SGX MAINBOARD,S3N,16/03/2015,1902927,2880400,SGD
SGX MAINBOARD,S3N,13/03/2015,2047896,3101800,SGD
SGX MAINBOARD,S3N,12/03/2015,4374301,6626500,SGD
SGX MAINBOARD,S3N,11/03/2015,3408962,5162400,SGD
SGX MAINBOARD,S3N,10/03/2015,3260500,4916400,SGD
SGX MAINBOARD,S3N,09/03/2015,2026000,3063400,SGD
SGX MAINBOARD,S3N,06/03/2015,2572495,3892200,SGD
SGX MAINBOARD,S3N,05/03/2015,4230720,6404400,SGD
SGX MAINBOARD,S3N,04/03/2015,4072103,6154400,SGD
SGX MAINBOARD,S3N,03/03/2015,3221218,4875400,SGD
SGX MAINBOARD,S3N,02/03/2015,2935258,4469400,SGD
SGX MAINBOARD,S3N,27/02/2015,2342370,3630800,SGD
SGX MAINBOARD,S3N,26/02/2015,8159523,12589600,SGD
SGX MAINBOARD,S3N,25/02/2015,4819694,7765700,SGD
SGX MAINBOARD,S3N,24/02/2015,2402530,3914000,SGD
SGX MAINBOARD,S3N,23/02/2015,3503769,5830000,SGD
SGX MAINBOARD,S3N,18/02/2015,1309189,2231400,SGD
SGX MAINBOARD,S3N,17/02/2015,7185027,12494300,SGD
SGX MAINBOARD,S3N,16/02/2015,4223815,7346100,SGD
SGX MAINBOARD,S3N,13/02/2015,4411754,7732200,SGD
SGX MAINBOARD,S3N,12/02/2015,2968700,5207000,SGD
SGX MAINBOARD,S3N,11/02/2015,3314733,5814400,SGD
SGX MAINBOARD,S3N,10/02/2015,4166757,7310100,SGD
SGX MAINBOARD,S3N,09/02/2015,3924267,6884100,SGD
SGX MAINBOARD,S3N,06/02/2015,3781323,6633900,SGD
SGX MAINBOARD,S3N,05/02/2015,2729968,4829400,SGD
SGX MAINBOARD,S3N,04/02/2015,3050885,5399000,SGD
SGX MAINBOARD,S3N,03/02/2015,3964882,7017500,SGD
SGX MAINBOARD,S3N,02/02/2015,3790950,6710000,SGD
SGX MAINBOARD,S3N,30/01/2015,3992052,7063800,SGD
SGX MAINBOARD,S3N,29/01/2015,2482553,4393900,SGD
SGX MAINBOARD,S3N,28/01/2015,3472693,6145200,SGD
SGX MAINBOARD,S3N,27/01/2015,3594545,6360300,SGD
SGX MAINBOARD,S3N,26/01/2015,3435662,6050100,SGD
SGX MAINBOARD,S3N,23/01/2015,2402908,4251400,SGD
SGX MAINBOARD,S3N,22/01/2015,2439670,4318000,SGD
SGX MAINBOARD,S3N,21/01/2015,3529865,6246000,SGD
SGX MAINBOARD,S3N,20/01/2015,3394520,6008000,SGD
SGX MAINBOARD,S3N,19/01/2015,3241518,5737200,SGD
SGX MAINBOARD,S3N,16/01/2015,2383190,4217000,SGD
SGX MAINBOARD,S3N,15/01/2015,1253180,2218000,SGD
SGX MAINBOARD,S3N,14/01/2015,4875210,8553000,SGD
SGX MAINBOARD,S3N,13/01/2015,3688790,6471000,SGD
SGX MAINBOARD,S3N,12/01/2015,4649350,8157000,SGD
SGX MAINBOARD,S3N,09/01/2015,3287060,5769000,SGD
SGX MAINBOARD,S3N,08/01/2015,3126160,5533000,SGD
SGX MAINBOARD,S3N,07/01/2015,2749900,4866000,SGD
SGX MAINBOARD,S3N,06/01/2015,3678290,6511000,SGD
SGX MAINBOARD,S3N,05/01/2015,4073655,7210000,SGD
SGX MAINBOARD,S3N,02/01/2015,3805960,6779000,SGD
SGX MAINBOARD,S3N,31/12/2014,2572890,4594000,SGD
SGX MAINBOARD,S3N,30/12/2014,4895545,8742000,SGD
SGX MAINBOARD,S3N,29/12/2014,4209520,7517000,SGD
SGX MAINBOARD,S3N,26/12/2014,4627370,8263000,SGD
SGX MAINBOARD,S3N,24/12/2014,3466550,6190000,SGD
SGX MAINBOARD,S3N,23/12/2014,4678000,8355000,SGD
SGX MAINBOARD,S3N,22/12/2014,3790150,6767000,SGD
SGX MAINBOARD,S3N,19/12/2014,4022540,7183000,SGD
SGX MAINBOARD,S3N,18/12/2014,4730325,8447000,SGD
SGX MAINBOARD,S3N,17/12/2014,3773455,6740000,SGD
SGX MAINBOARD,S3N,16/12/2014,4053850,7238000,SGD
SGX MAINBOARD,S3N,15/12/2014,4802035,8576000,SGD
SGX MAINBOARD,S3N,12/12/2014,3863955,6900000,SGD
SGX MAINBOARD,S3N,11/12/2014,5089655,9089000,SGD
SGX MAINBOARD,S3N,10/12/2014,2915655,5206000,SGD
SGX MAINBOARD,S3N,09/12/2014,4024885,7187000,SGD
SGX MAINBOARD,S3N,08/12/2014,4097600,7371000,SGD
SGX MAINBOARD,S3N,05/12/2014,4286325,7723000,SGD
SGX MAINBOARD,S3N,04/12/2014,4679205,8431000,SGD
SGX MAINBOARD,S3N,03/12/2014,2929850,5279000,SGD
SGX MAINBOARD,S3N,02/12/2014,4368355,7871000,SGD
SGX MAINBOARD,S3N,01/12/2014,3601395,6489000,SGD
SGX MAINBOARD,S3N,28/11/2014,4228970,7552000,SGD
SGX MAINBOARD,S3N,27/11/2014,4260480,7608000,SGD
SGX MAINBOARD,S3N,26/11/2014,2663360,4756000,SGD
SGX MAINBOARD,S3N,25/11/2014,4143425,7399000,SGD
SGX MAINBOARD,S3N,24/11/2014,3304560,5901000,SGD
SGX MAINBOARD,S3N,21/11/2014,4613840,8239000,SGD
SGX MAINBOARD,S3N,20/11/2014,4394880,7848000,SGD
SGX MAINBOARD,S3N,19/11/2014,2714320,4847000,SGD
SGX MAINBOARD,S3N,18/11/2014,3910480,6983000,SGD
SGX MAINBOARD,S3N,17/11/2014,3184185,5686000,SGD
SGX MAINBOARD,S3N,14/11/2014,4506420,8047000,SGD
SGX MAINBOARD,S3N,13/11/2014,4411120,7877000,SGD
SGX MAINBOARD,5CF,12/05/2015,8800,40000,SGD
SGX MAINBOARD,5CF,11/05/2015,4300,20000,SGD
SGX MAINBOARD,5CF,08/05/2015,4500,20000,SGD
SGX MAINBOARD,5CF,07/05/2015,0,0,SGD
SGX MAINBOARD,5CF,06/05/2015,0,0,SGD
SGX MAINBOARD,5CF,05/05/2015,0,0,SGD
SGX MAINBOARD,5CF,04/05/2015,10340,44000,SGD
SGX MAINBOARD,5CF,30/04/2015,11130,46500,SGD
SGX MAINBOARD,5CF,29/04/2015,0,0,SGD
SGX MAINBOARD,5CF,28/04/2015,13374,59100,SGD
SGX MAINBOARD,5CF,27/04/2015,4400,20000,SGD
SGX MAINBOARD,5CF,24/04/2015,0,0,SGD
SGX MAINBOARD,5CF,23/04/2015,15549,67600,SGD
SGX MAINBOARD,5CF,22/04/2015,11297,48500,SGD
SGX MAINBOARD,5CF,21/04/2015,0,0,SGD
SGX MAINBOARD,5CF,20/04/2015,10775,45000,SGD
SGX MAINBOARD,5CF,17/04/2015,0,0,SGD
SGX MAINBOARD,5CF,16/04/2015,0,0,SGD
SGX MAINBOARD,5CF,15/04/2015,0,0,SGD
SGX MAINBOARD,5CF,14/04/2015,960,4000,SGD
SGX MAINBOARD,5CF,13/04/2015,9600,40000,SGD
SGX MAINBOARD,5CF,10/04/2015,960,4000,SGD
SGX MAINBOARD,5CF,09/04/2015,46028,195000,SGD
SGX MAINBOARD,5CF,08/04/2015,0,0,SGD
SGX MAINBOARD,5CF,07/04/2015,8100,36000,SGD
SGX MAINBOARD,5CF,06/04/2015,0,0,SGD
SGX MAINBOARD,5CF,02/04/2015,0,0,SGD
SGX MAINBOARD,5CF,01/04/2015,0,0,SGD
SGX MAINBOARD,5CF,31/03/2015,2389,10900,SGD
SGX MAINBOARD,5CF,30/03/2015,0,0,SGD
SGX MAINBOARD,5CF,27/03/2015,0,0,SGD
SGX MAINBOARD,5CF,26/03/2015,14900,65000,SGD
SGX MAINBOARD,5CF,25/03/2015,9000,40000,SGD
SGX MAINBOARD,5CF,24/03/2015,0,0,SGD
SGX MAINBOARD,5CF,23/03/2015,3060,14000,SGD
SGX MAINBOARD,5CF,20/03/2015,4075,19000,SGD
SGX MAINBOARD,5CF,19/03/2015,5720,26000,SGD
SGX MAINBOARD,5CF,18/03/2015,5500,25000,SGD
SGX MAINBOARD,5CF,17/03/2015,4950,22000,SGD
SGX MAINBOARD,5CF,16/03/2015,0,0,SGD
SGX MAINBOARD,5CF,13/03/2015,12375,55000,SGD
SGX MAINBOARD,5CF,12/03/2015,2044,8700,SGD
SGX MAINBOARD,5CF,11/03/2015,0,0,SGD
SGX MAINBOARD,5CF,10/03/2015,13380,57000,SGD
SGX MAINBOARD,5CF,09/03/2015,0,0,SGD
SGX MAINBOARD,5CF,06/03/2015,2210,10000,SGD
SGX MAINBOARD,5CF,05/03/2015,0,0,SGD
SGX MAINBOARD,5CF,04/03/2015,0,0,SGD
SGX MAINBOARD,5CF,03/03/2015,6750,30000,SGD
SGX MAINBOARD,5CF,02/03/2015,0,0,SGD
SGX MAINBOARD,5CF,27/02/2015,132,600,SGD
SGX MAINBOARD,5CF,26/02/2015,4465,19000,SGD
SGX MAINBOARD,5CF,25/02/2015,6290,26000,SGD
SGX MAINBOARD,5CF,24/02/2015,12840,53500,SGD
SGX MAINBOARD,5CF,23/02/2015,2640,12000,SGD
SGX MAINBOARD,5CF,18/02/2015,0,0,SGD
SGX MAINBOARD,5CF,17/02/2015,15900,70000,SGD
SGX MAINBOARD,5CF,16/02/2015,0,0,SGD
SGX MAINBOARD,5CF,13/02/2015,220,1000,SGD
SGX MAINBOARD,5CF,12/02/2015,0,0,SGD
SGX MAINBOARD,5CF,11/02/2015,2640,12000,SGD
SGX MAINBOARD,5CF,10/02/2015,3300,15000,SGD
SGX MAINBOARD,5CF,09/02/2015,5220,23000,SGD
SGX MAINBOARD,5CF,06/02/2015,0,0,SGD
SGX MAINBOARD,5CF,05/02/2015,0,0,SGD
SGX MAINBOARD,5CF,04/02/2015,8100,34500,SGD
SGX MAINBOARD,5CF,03/02/2015,11150,50000,SGD
SGX MAINBOARD,5CF,02/02/2015,0,0,SGD
SGX MAINBOARD,5CF,30/01/2015,11360,49000,SGD
SGX MAINBOARD,5CF,29/01/2015,8380,36000,SGD
SGX MAINBOARD,5CF,28/01/2015,17200,75000,SGD
SGX MAINBOARD,5CF,27/01/2015,25860,118000,SGD
SGX MAINBOARD,5CF,26/01/2015,0,0,SGD
SGX MAINBOARD,5CF,23/01/2015,7303,32500,SGD
SGX MAINBOARD,5CF,22/01/2015,820,4000,SGD
SGX MAINBOARD,5CF,21/01/2015,0,0,SGD
SGX MAINBOARD,5CF,20/01/2015,22952,105500,SGD
SGX MAINBOARD,5CF,19/01/2015,0,0,SGD
SGX MAINBOARD,5CF,16/01/2015,2300,10000,SGD
SGX MAINBOARD,5CF,15/01/2015,3820,16000,SGD
SGX MAINBOARD,5CF,14/01/2015,10100,40000,SGD
SGX MAINBOARD,5CF,13/01/2015,0,0,SGD
SGX MAINBOARD,5CF,12/01/2015,5000,20000,SGD
SGX MAINBOARD,5CF,09/01/2015,0,0,SGD
SGX MAINBOARD,5CF,08/01/2015,14580,58000,SGD
SGX MAINBOARD,5CF,07/01/2015,0,0,SGD
SGX MAINBOARD,5CF,06/01/2015,0,0,SGD
SGX MAINBOARD,5CF,05/01/2015,0,0,SGD
SGX MAINBOARD,5CF,02/01/2015,13000,50000,SGD
SGX MAINBOARD,5CF,31/12/2014,25225,99000,SGD
SGX MAINBOARD,5CF,30/12/2014,3000,12000,SGD
SGX MAINBOARD,5CF,29/12/2014,7500,30000,SGD
SGX MAINBOARD,5CF,26/12/2014,5200,20000,SGD
SGX MAINBOARD,5CF,24/12/2014,0,0,SGD
SGX MAINBOARD,5CF,23/12/2014,0,0,SGD
SGX MAINBOARD,5CF,22/12/2014,0,0,SGD
SGX MAINBOARD,5CF,19/12/2014,0,0,SGD
SGX MAINBOARD,5CF,18/12/2014,0,0,SGD
SGX MAINBOARD,5CF,17/12/2014,0,0,SGD
SGX MAINBOARD,5CF,16/12/2014,0,0,SGD
SGX MAINBOARD,5CF,15/12/2014,10000,40000,SGD
SGX MAINBOARD,5CF,12/12/2014,290,1000,SGD
SGX MAINBOARD,5CF,11/12/2014,4500,18000,SGD
SGX MAINBOARD,5CF,10/12/2014,0,0,SGD
SGX MAINBOARD,5CF,09/12/2014,3120,12000,SGD
SGX MAINBOARD,5CF,08/12/2014,0,0,SGD
SGX MAINBOARD,5CF,05/12/2014,0,0,SGD
SGX MAINBOARD,5CF,04/12/2014,6130,24000,SGD
SGX MAINBOARD,5CF,03/12/2014,0,0,SGD
SGX MAINBOARD,5CF,02/12/2014,0,0,SGD
SGX MAINBOARD,5CF,01/12/2014,15760,62000,SGD
SGX MAINBOARD,5CF,28/11/2014,0,0,SGD
SGX MAINBOARD,5CF,27/11/2014,26490,104000,SGD
SGX MAINBOARD,5CF,26/11/2014,8010,31000,SGD
SGX MAINBOARD,5CF,25/11/2014,0,0,SGD
SGX MAINBOARD,5CF,24/11/2014,10400,40000,SGD
SGX MAINBOARD,5CF,21/11/2014,0,0,SGD
SGX MAINBOARD,5CF,20/11/2014,0,0,SGD
SGX MAINBOARD,5CF,19/11/2014,2600,10000,SGD
SGX MAINBOARD,5CF,18/11/2014,0,0,SGD
SGX MAINBOARD,5CF,17/11/2014,0,0,SGD
SGX MAINBOARD,5CF,14/11/2014,0,0,SGD
SGX MAINBOARD,5CF,13/11/2014,0,0,SGD
SGX MAINBOARD,O32,12/05/2015,330719,164900,SGD
SGX MAINBOARD,O32,11/05/2015,1324174,661700,SGD
SGX MAINBOARD,O32,08/05/2015,91335,45500,SGD
SGX MAINBOARD,O32,07/05/2015,158859,79000,SGD
SGX MAINBOARD,O32,06/05/2015,352804,174200,SGD
SGX MAINBOARD,O32,05/05/2015,478961,237300,SGD
SGX MAINBOARD,O32,04/05/2015,451344,225700,SGD
SGX MAINBOARD,O32,30/04/2015,238327,118600,SGD
